"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000284733",0.606288772470024,-1.0087573430959,3.1102485994793,-0.324333348551231,0.745685674576551,NA,"OR4F29"
"ENSG00000177757",27.5979608840581,-1.03571746638922,0.492945558065196,-2.10107880970547,0.0356340487002618,0.105317428484952,"FAM87B"
"ENSG00000230368",2.9108703865044,-1.70683966269748,1.13186483013484,-1.5079889552661,0.131557353797789,0.27339083327531,"FAM41C"
"ENSG00000187634",175.618506051363,-1.18513894104675,0.827005343396946,-1.43304871063923,0.151843917322089,0.301563757464016,"SAMD11"
"ENSG00000188976",1238.90656089845,0.333739580571947,0.181642861900882,1.83733936516625,0.0661598120103063,0.166235111333256,"NOC2L"
"ENSG00000187961",140.677436847898,-0.174905702106689,0.234687354607365,-0.745271096516082,0.456107850436519,0.631659199097682,"KLHL17"
"ENSG00000187583",89.6114485444524,1.16865133937831,0.581711839995999,2.0089866821111,0.0445385461345983,0.12457201342576,"PLEKHN1"
"ENSG00000188290",254.70156351425,-0.257630481383552,0.578281653561073,-0.445510383732661,0.655950957476143,0.790658134378173,"HES4"
"ENSG00000187608",2240.43671082107,2.42605168853338,0.552409750222171,4.39176116561603,1.12436170970641e-05,0.000185147854685218,"ISG15"
"ENSG00000188157",6214.89193177372,0.687038222573389,0.257080722246599,2.67246107202999,0.00752971103025715,0.0326383384165562,"AGRN"
"ENSG00000237330",129.232034417779,-2.10663860705235,0.42965681634757,-4.90307270104656,9.43490452262265e-07,2.31106670105534e-05,"RNF223"
"ENSG00000131591",294.452238690039,-0.281859554090674,0.1473216035503,-1.91322621596661,0.0557190987542775,0.146624118365689,"C1orf159"
"ENSG00000207730",21.0360170819066,-2.24789625951123,0.739019361783222,-3.04172850639143,0.00235223950028193,0.0131493656515425,"MIR200B"
"ENSG00000207607",16.5093743834978,-1.18307991903307,0.450948340506942,-2.62353758238269,0.00870218437239206,0.0366041935389604,"MIR200A"
"ENSG00000198976",21.083753369576,-1.23799870763597,0.535083612100869,-2.31365468805012,0.0206866712770111,0.0699664159715778,"MIR429"
"ENSG00000205231",37.689526426659,-2.01097120880019,0.779669895058089,-2.5792597887217,0.00990122935442792,0.0402540596785796,"TTLL10-AS1"
"ENSG00000162571",30.2270902324083,-1.65112821639553,0.620740778446149,-2.65993192928079,0.00781564455176985,0.0335579837240857,"TTLL10"
"ENSG00000186891",281.733932263411,1.14114680402017,0.683657188117021,1.66917985191263,0.0950817418339978,0.217238533835491,"TNFRSF18"
"ENSG00000186827",229.559295387961,1.52161329810644,0.775350569558148,1.96248427208039,0.0497061299575136,0.135106396255709,"TNFRSF4"
"ENSG00000078808",6661.47202457295,0.0251599125778295,0.160401456005217,0.156855886501499,0.875358426874493,0.933622373317993,"SDF4"
"ENSG00000176022",325.056940769364,0.229263129590046,0.315892088134652,0.725764076409285,0.467983412920323,0.642252214077856,"B3GALT6"
"ENSG00000160087",1025.35546224434,0.241600107705416,0.124957675818575,1.93345551701996,0.0531801078334218,0.14152798002063,"UBE2J2"
"ENSG00000162572",57.7025149023451,0.532309924328884,0.493813379657503,1.07795767846161,0.281052643355642,0.458328198632854,"SCNN1D"
"ENSG00000131584",900.423336637161,-0.337552667746757,0.199982280125712,-1.68791288675459,0.0914279525113365,0.211409713867702,"ACAP3"
"ENSG00000169972",286.712128809142,0.36575521727006,0.226417524124867,1.61540154051128,0.106223766860339,0.23518962768746,"PUSL1"
"ENSG00000169962",284.024746087065,1.52209244699585,0.627889364454974,2.42414115154995,0.0153446400412459,0.056058681674994,"TAS1R3"
"ENSG00000107404",2060.53971864716,0.0380164954483618,0.18833412716775,0.201856647120042,0.840028794934936,0.91237196753239,"DVL1"
"ENSG00000162576",506.203946211191,0.054462421408706,0.586674405357464,0.0928324483075442,0.926036672287857,0.962415361194135,"MXRA8"
"ENSG00000175756",2112.32207239866,-0.154964126082743,0.138342689071512,-1.12014684059408,0.262651192830758,0.438585048191022,"AURKAIP1"
"ENSG00000221978",1286.96523388449,-0.682791934300704,0.185088772598726,-3.6889970402527,0.0002251398380162,0.00210631387434,"CCNL2"
"ENSG00000242485",1254.04081839105,0.233847064952375,0.145628506758798,1.60577808670174,0.108322677041083,0.238349897866022,"MRPL20"
"ENSG00000235098",74.7932743324475,1.93893629175408,0.632605950457362,3.0649985039696,0.00217671085938499,0.0123896565085382,"ANKRD65"
"ENSG00000179403",2101.4722320189,1.68641987959096,0.25742293765951,6.55116399076124,5.70903222369447e-11,5.29068702908041e-09,"VWA1"
"ENSG00000215915",129.409796521438,0.367142797093758,0.361648757302809,1.01519164570597,0.310014482164929,0.489429594039849,"ATAD3C"
"ENSG00000160072",822.114204464982,-0.0354146168735368,0.289202959066945,-0.12245592848633,0.9025379472149,0.949857129179291,"ATAD3B"
"ENSG00000197785",852.021009442786,0.283021049058789,0.302034599869366,0.937048434785945,0.348733644172095,0.528742584842275,"ATAD3A"
"ENSG00000205090",7.72307626408367,0.278929723708895,1.61634967313655,0.172567686525173,0.862991253198112,0.92580576450642,"TMEM240"
"ENSG00000160075",1764.98884973479,-0.0123850115451257,0.117219777185186,-0.105656330719343,0.915855029377845,0.95776368927676,"SSU72"
"ENSG00000197530",933.49416150478,-0.693997021190789,0.177384207958332,-3.91239462170055,9.13854191552155e-05,0.00101694474778396,"MIB2"
"ENSG00000189409",26.0943187735854,-1.15517255059141,0.626900809156388,-1.84267197253408,0.065376918544265,0.164686254641632,"MMP23B"
"ENSG00000248333",1246.60752575681,-0.163386513627581,0.141449054260705,-1.15509088753922,0.248053209432576,0.42191872915321,"CDK11B"
"ENSG00000189339",2296.10412830169,-0.196509442248378,0.167083676557184,-1.17611394660162,0.239549345505676,0.412205759478046,"SLC35E2B"
"ENSG00000215914",22.4672616435095,-0.37852263774011,0.570325005147573,-0.663696373688133,0.506884660792258,0.675239021456289,"MMP23A"
"ENSG00000008128",1340.70569857088,-0.257753472593829,0.182494380689599,-1.41239128361019,0.157834781538415,0.310147483901791,"CDK11A"
"ENSG00000008130",3420.31271760483,-0.162803549604406,0.216834564900725,-0.750819177186738,0.452761486507859,0.628276712123584,"NADK"
"ENSG00000078369",9018.09812140051,0.170104733392448,0.151915020303775,1.11973610675429,0.262826233721826,0.438673029357331,"GNB1"
"ENSG00000169885",7.35734359778852,-2.91278123201955,1.29805108931699,-2.24396501493035,0.0248346524038295,0.0800017860972229,"CALML6"
"ENSG00000178821",52.9199518582388,-0.381056084279575,0.507652405384221,-0.750624010125923,0.452878967095103,0.628335195052267,"TMEM52"
"ENSG00000187730",9.71424800466999,1.37635983046039,1.11131960426161,1.2384914521281,0.215533889618487,0.38415651380767,"GABRD"
"ENSG00000067606",949.370921337487,-0.701431742884541,0.233784556179804,-3.0003339585232,0.00269683743854818,0.0146725196713706,"PRKCZ"
"ENSG00000157933",1808.78641298989,0.222008511606979,0.30806899225271,0.72064543069906,0.471127694599622,0.645125549659761,"SKI"
