,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000000003,443.2190358,-0.413603402,0.111780753,-3.700130757,0.000215488,0.000942178,TSPAN6
ENSG00000000005,7.742550113,-0.463440642,0.121650041,-3.809621746,0.00013918,0.0006443,TNMD
ENSG00000000457,35.24985531,-0.172971019,0.048515342,-3.565284964,0.000363461,0.001486199,SCYL3
ENSG00000000938,38.24972582,1.192485638,0.187758899,6.351153774,2.14E-10,6.91E-09,FGR
ENSG00000001036,297.4017688,0.059235371,0.031624188,1.873103293,0.061054123,0.124934083,FUCA2
ENSG00000001460,21.25012228,-0.338800942,0.090861045,-3.728781036,0.000192408,0.000854255,STPG1
ENSG00000001461,118.2024608,-0.262843346,0.057543183,-4.567758162,4.93E-06,3.57E-05,NIPAL3
ENSG00000001626,596.4552897,-0.589265442,0.145119704,-4.060547443,4.90E-05,0.000259603,CFTR
ENSG00000001631,28.62478717,-0.135269666,0.051001566,-2.652264982,0.007995377,0.021975652,KRIT1
ENSG00000002016,8.656049469,-0.160633274,0.090863821,-1.767846354,0.077086593,0.151922626,RAD52
ENSG00000002330,151.1678463,-0.284956314,0.061869396,-4.605771739,4.11E-06,3.06E-05,BAD
ENSG00000002549,302.8027002,0.626401753,0.115461789,5.425186638,5.79E-08,8.02E-07,LAP3
ENSG00000002587,54.52813601,0.50323243,0.086961927,5.786813206,7.17E-09,1.35E-07,HS3ST1
ENSG00000002726,711.9242172,-0.495078877,0.14911486,-3.320117638,0.000899795,0.003274782,AOC1
ENSG00000002822,47.80004564,0.260985056,0.070608099,3.696248164,0.000218809,0.000955889,MAD1L1
ENSG00000002834,33.18184134,-0.107357628,0.047002971,-2.284060468,0.022367977,0.053643067,LASP1
ENSG00000002919,44.27355302,-0.09301837,0.042486928,-2.189340943,0.028572069,0.066072377,SNX11
ENSG00000002933,675.8699965,-0.15665479,0.06549757,-2.391764908,0.016767579,0.041660014,TMEM176A
ENSG00000003096,24.2783859,-0.365524183,0.089831915,-4.068979076,4.72E-05,0.000251503,KLHL13
ENSG00000003137,11.69120793,0.245955646,0.147849504,1.663554081,0.096201575,0.182684155,CYP26B1
ENSG00000003400,21.79112312,0.405398839,0.085081821,4.764811483,1.89E-06,1.56E-05,CASP10
ENSG00000003402,173.9803491,0.321168426,0.078549176,4.088756125,4.34E-05,0.000233884,CFLAR
ENSG00000003436,136.5127959,0.773997229,0.157284071,4.921014709,8.61E-07,7.96E-06,TFPI
