gene_symbol,ENSEMBL_ID,IBD,IBD.1,non.IBD,non.IBD.1,non.IBD.2,IBD.2,IBD.3,non.IBD.3,IBD.4,non.IBD.4
MIR1302-10,ENSG00000284557,0,0,0,0,0,0,0,0,0,0
FAM138A,ENSG00000237613,0,0,0,0.748536746,0,3.409423172,0,1.385719322,0,0
OR4F5,ENSG00000186092,0,0,0,0,0,0,0,0,0,0
OR4F29,ENSG00000284733,2.157042855,0,0,0,0,0,0,0,0,3.579708357
OR4F16,ENSG00000284662,1.43802857,0,0,0,0,0,0,0,0,3.579708357
FAM87B,ENSG00000177757,22.28944284,15.88382278,53.98290679,34.4326903,18.08101341,20.45653903,6.256275774,22.17150915,27.94608151,55.48547954
FAM41C,ENSG00000230368,1.43802857,0,7.197720905,1.497073491,1.166516994,2.557067379,0,5.542877288,2.94169279,7.159416714
SAMD11,ENSG00000187634,49.61198568,25.41411645,34.1891743,559.156949,169.1449642,293.2103928,39.10172359,424.0301125,147.0846395,42.95650029
NOC2L,ENSG00000188976,1322.986285,1402.541552,775.5544275,1221.611969,1128.605192,1280.238401,1595.350322,1436.990937,1389.949843,898.5067977
KLHL17,ENSG00000187961,116.4803142,106.4216126,89.97151131,176.654672,141.1485563,161.0952449,147.0224807,198.157863,141.2012539,137.8187718
PLEKHN1,ENSG00000187583,134.4556713,160.4266101,5.398290679,80.09343178,43.74438729,74.15495399,93.84413661,104.6218088,164.7347962,42.95650029
HES4,ENSG00000188290,138.769757,52.41661518,109.7652438,416.9349673,214.639127,223.3172177,200.2008248,452.4373586,569.2175549,195.0941055
ISG15,ENSG00000187608,2618.650027,1423.190521,413.868952,609.308911,533.0982665,1055.216472,5616.571576,764.9170658,8382.353605,1172.354487
AGRN,ENSG00000188157,6312.226409,9744.725276,3705.026836,4603.500986,4019.234304,4724.60816,10211.80613,5707.085028,7664.580564,5641.620371
RNF223,ENSG00000237330,47.45494282,42.88632151,84.57322063,191.6254069,164.4788962,51.14134758,82.89565401,313.1725668,22.06269593,291.7462311
C1orf159,ENSG00000131591,259.5641569,250.9643999,226.7282085,345.0754397,361.0370098,269.3444306,276.840203,348.5084095,289.7567398,325.7534605
MIR200B,ENSG00000207730,19.4133857,0,21.59316271,29.19293308,19.24753041,2.557067379,4.692206831,54.73591322,10.29592477,48.32606282
MIR200A,ENSG00000207607,15.09929999,11.11867595,14.39544181,26.1987861,16.33123792,4.261778965,7.820344718,25.63580746,13.23761756,32.21737521
